Mes de consulta;Tipo de atención;Tipo de usuario;Unidad de Negocio - Modalidad de Estudios;Sede de procedencia;Carrera;Tema consultado
Agosto;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Derecho;divorcio
Agosto;Correo;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Industrial;horario y campus 
Agosto;Correo;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Industrial;Libros de ingeniería 
Agosto;Correo;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Ambiental;72380721@continental.edu.pe
Agosto;Correo;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Industrial;Servicios 
Setiembre;Correo;Estudiante;Instituto presencial;Huancayo;Contabilidad;"	libro de dinámica del plan contable"
Setiembre;Correo;Estudiante;Instituto presencial;Huancayo;Contabilidad;Devolución pendiente
Setiembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Los Olivos;Psicología;renovación de libro
Setiembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Collasuyo;Ingeniería Civil;Acceso a revista constructivo
Setiembre;Chat;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Huancayo;Ingeniería Empresarial;libro de Análisis matemático
Setiembre;Chat;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Huancayo;Ingeniería Empresarial;Libros sobre análisis matemático
Setiembre;Correo;Docente;No aplica;Por regularizar;No aplica;Préstamo de libro digital
Setiembre;Correo;Estudiante;Pregrado Presencial;Huancayo;Odontología;Renovación de préstamo de libro
Setiembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Administración y Marketing;Acceso a tesis de repositorio 
Octubre;Chat;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Mecatrónica;Acceso a scopus, cielo
Octubre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;Psicoterapia psicoanalítica: una ética terapéutica más allá de la técnica
Octubre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Ingeniería Industrial;Renovación de libros
Octubre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;Psicoterapia psicoanalítica
Octubre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;horario Los Olivos
Octubre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;Acceso a libros digitales
Octubre;Chat;Estudiante;Pregrado Presencial;Los Olivos;Medicina Humana;Préstamo de libros
Octubre;Chat;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Industrial;Libro de Introducción a la Ingeniería
Octubre;Chat;Estudiante;Instituto presencial;Huancayo;Administración de Empresas;Libro de Liderazgo
Octubre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);No aplica;Psicología;Libro de Introducción a la Psicología
Octubre;Correo;Docente;No aplica;Los Olivos;No aplica;Tesis de Ingeniería 
Octubre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);No aplica;Administración - Marketing y Negocios Internacionales; Tesis de gestión de tiempo y recreación organizacional
Octubre;Chat;Estudiante;Pregrado Presencial;Huancayo;Arquitectura;Renovación de préstamo
Noviembre;Correo;Estudiante;Pregrado Presencial;Los Olivos;Medicina Humana;reserva de laptop
Noviembre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);No aplica;Administración y Gestión Pública;Acceso a libro digitales
Noviembre;Chat;Estudiante;Pregrado Presencial;Lambramani;Ingeniería Industrial;Link de capacitación
Noviembre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Huancayo;Administración;Acceso al repositorio
Noviembre;Correo;Estudiante;Instituto semipresencial;Huancayo;Administración de Empresas;fundamentos de marketing
Noviembre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería de Minas;mineral/minera
Noviembre;Chat;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Civil; Libros de Administración y negocios internacionales
Noviembre;Chat;Estudiante;Pregrado Presencial;Huancayo;Derecho;Pin de acceso a revistas digitales
Noviembre;Chat;Estudiante;Pregrado Presencial;Huancayo;Medicina Humana;Consulta no formulada
Noviembre;Chat;Estudiante;Pregrado Presencial;Huancayo;Medicina Humana; Tiempo de préstamo
Noviembre;Correo;Docente;No aplica;No aplica;No aplica;Renovar préstamo
Diciembre;Correo;Externo;No aplica;No aplica;No aplica;acceso a revista de quiosco
Diciembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;Descargar libro Psicopatologi?a ba?sica
Diciembre;Chat;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Ambiental;áreas del hub
Diciembre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Empresarial;descargar silabo y plan de estudio
Diciembre;Chat;Estudiante;Pregrado Presencial;Huancayo;Medicina Humana;pin de cuenta de biblioteca
Diciembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Administración;Acceso a libro sobre indicadores de gestión
Diciembre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;Acceso a libros digitales
Diciembre;Chat;Estudiante;Pregrado Presencial;Huancayo;Medicina Humana;Anulación de reservas de espacios grupales
Febrero;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Contabilidad;Descarga de libros digitales
Febrero;Chat;Estudiante;Pregrado Presencial;Huancayo;Psicología;Acceso a libros digitales
Febrero;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Administración;Libro de precálculo
Febrero;Chat;Estudiante;Pregrado Presencial;Lambramani;Ingeniería Ambiental;Libro de ingeniería ambiental
Febrero;Correo;Estudiante;Pregrado Presencial;Huancayo;Derecho;Consulta sobre devolución pendiente
Febrero;Correo;Estudiante;Pregrado Presencial;Huancayo;Administración y Marketing;Consulta sobre devolución pendiente
Febrero;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Civil;Renovación de Préstamo
Febrero;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Contabilidad;Acceso a Actualidad Empresarial
Febrero;Correo;Estudiante;Pregrado Presencial;Huancayo;Contabilidad;Acceso a revista
Abril;Chat;Estudiante;Pregrado Presencial;Los Olivos;Arquitectura;Horario de atención sábados y domingos
Abril;Chat;Estudiante;Pregrado Presencial;Huancayo;Psicología;Renovación de préstamo
Abril;Chat;Estudiante;Pregrado Presencial;Huancayo;Odontología;Artículos de ATM
Abril;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Administración;Acceso a libro digital de precálculo
Abril;Correo;Estudiante;Pregrado Presencial;Lambramani;Psicología;Renovación de préstamo
Mayo;Chat;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Juan Espinoza;Ingeniería Civil;Consulta de transacciones de dinero por devolución tardía
Mayo;Correo;Estudiante;Pregrado Presencial;Los Olivos;Psicología;Consulta sobre bibliografía
Mayo;Correo;Estudiante;Pregrado Presencial;Huancayo;Psicología;Renovación de Préstam
Mayo;Correo;Estudiante;Pregrado Presencial;Huancayo;Administración - Marketing y Negocios Internacionales;Consulta sobre Quiosco Virtual
Mayo;Correo;Estudiante;Pregrado Presencial;Huancayo;Administración - Marketing y Negocios Internacionales;Acceso a Tesis de Repositorio
Junio;Correo;Estudiante;Instituto presencial;Huancayo;Gastronomía y Arte Culinario;Historia de la Gastronomía española
Junio;Correo;Estudiante;Instituto semipresencial;Huancayo;Administración de Empresas;Pérdida de libro
Julio;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Huancayo;Administración;pearson
Julio;Correo;Estudiante;Pregrado Presencial;Huancayo;Administración y Marketing;prestar libros
Julio;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería de Sistemas e Informática;prestar libro
Julio;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Lambramani;Ingeniería Mecánica;Textos de álgrebra 
Julio;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Ingeniería Industrial;consulta
Julio;Correo;Estudiante;Pregrado Presencial;Huancayo;Arquitectura;prestar libro
Julio;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Lambramani;Contabilidad;Consulta de fechas de prestamo
Julio;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Juan Espinoza;Ingeniería Civil;Consultas de textos+
Julio;Correo;Estudiante;Pregrado Presencial;Lambramani;Psicología;Consulta de texto
Julio;Correo;Estudiante;Pregrado Presencial;Lambramani;Ingeniería Mecánica;Textos
Julio;Correo;Estudiante;Pregrado Presencial;Lambramani;Ingeniería Industrial;Renovación
Julio;Correo;Docente;No aplica;Collasuyo;No aplica;Renovación 
Julio;Correo;Estudiante;No aplica;No aplica;No aplica;Acceso a base de datos
Julio;Correo;Estudiante;Pregrado Presencial;Lambramani;Ingeniería Civil;Acceso a base de datos
Julio;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Industrial;prestar libro
Julio;Chat;Estudiante;Pregrado Presencial;Huancayo;Administración de Empresas;manage your process
Julio;Correo;Estudiante;Pregrado Presencial;Huancayo;Odontología;Devolución pendiente RI 
Julio;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Industrial;Consulta sobre devolución pendiente
Julio;Chat;Estudiante;Pregrado Presencial;Huancayo;Psicología;Libros de habilidades sociales
Julio;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Ingeniería Industrial;Información sobre área y perímetro
Setiembre;Correo;Estudiante;Pregrado Presencial;Huancayo;Psicología;Servicios de Hub de Información
Setiembre;Chat;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Lambramani;Ingeniería Eléctrica;Acceso a gaceta penal
Octubre;Correo;Estudiante;Pregrado Presencial;Lambramani;Ingeniería de Minas;Renovación de Préstamo
Octubre;Correo;Estudiante;Pregrado Presencial;Lambramani;Ingeniería Ambiental;Renovación de Préstamo
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Derecho; Devolución pendiente de RI
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Civil;lista de préstamos
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Civil;préstamo de libros
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Administración y Marketing;Administración de Robbins y Coulter
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Mecánica;Física I
Octubre;Correo;Egresado;No aplica;Huancayo;Diseño Gráfico;libro de perdida de Biodiversidad
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Ambiental;reservar libro
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Derecho;libro de Derecho penal
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Derecho;libro de sociología Jurídica
Octubre;Correo;Estudiante;Pregrado Presencial;Huancayo;Economía;préstamo de libro en físico por computadora
Octubre;Correo;Estudiante;Pregrado Presencial;Lambramani;Psicología;descargar libro
Octubre;Correo;Externo;No aplica;No aplica;No aplica;acceso artículo de revista
Octubre;Correo;Estudiante;Pregrado Presencial;Los Olivos;Medicina Humana;plan de estudio y libros de medicina
Octubre;Correo;Estudiante;Pregrado Presencial;Los Olivos;Medicina Humana;artículo de revista
Octubre;Correo;Estudiante;Posgrado;Miraflores;Maestría en Gerencia Pública;Búsqueda de libro
Noviembre;Correo;Estudiante;Pregrado Presencial;Lambramani;Psicología;Devolución pendiente
Noviembre;Chat;Estudiante;Pregrado Presencial;Los Olivos;Ingeniería Ambiental;renovar libros
Diciembre;Correo;Externo;No aplica;No aplica;No aplica;Solicitud de acceso a revistas digitales
Diciembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Juan Espinoza;Derecho;Solicitud de capacitación 
Diciembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Juan Espinoza;Derecho;Solicitud de capacitaciones
Diciembre;Correo;Docente;No aplica;No aplica;No aplica;Solicitud de información bibliográfica para estudiantes
Diciembre;Chat;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Empresarial;Solicitud de información
Diciembre;Chat;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Los Olivos;Ingeniería Industrial;Consulta de información
Diciembre;Correo;Docente;No aplica;Huancayo;No aplica;Error de sistema turnitin
Diciembre;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Industrial;Devolución pendiente
Diciembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Los Olivos;Ingeniería Civil;talleres y cursos
Diciembre;Correo;Externo;No aplica;No aplica;No aplica;acceso a artículo de revista
Diciembre;Correo;Externo;No aplica;No aplica;No aplica;acceso a artículo de revista
Diciembre;Correo;Externo;No aplica;No aplica;No aplica;acceso a artículo de revista
Diciembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Juan Espinoza;Ingeniería Civil;Préstamo de Libro Ciencias de la Tierra
Diciembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;psicología
Diciembre;Correo;Estudiante;Pregrado Presencial;Los Olivos;Medicina Humana;renovar el préstamo del libro
Diciembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Juan Espinoza;Contabilidad;Solicitud de capacitación
